word,sentence,disambiguating_word,string,mod_np,non_adjective,reversed_mod_np,reversed_sentence,revesred_and_modified_sentence,reversed_and_modified_sentence
act,It was a desperate act.,desperate,act,desperate act,False,act desperate,It was a act desperate.,It was an act desperate.,It was an act desperate.
act,It was a humane act.,humane,act,humane act,False,act humane,It was a act humane.,It was an act humane.,It was an act humane.
act,It was a magic act.,magic,act,magic act,False,act magic,It was a act magic.,It was an act magic.,It was an act magic.
appeal,He had a universal appeal.,universal,appeal,universal appeal,False,appeal universal,He had a appeal universal.,He had an appeal universal.,He had an appeal universal.
appeal,He had an undefinable appeal.,undefinable,appeal,undefinable appeal,False,appeal undefinable,He had an appeal undefinable.,He had an appeal undefinable.,He had an appeal undefinable.
appeal,He had a legal appeal.,legal,appeal,legal appeal,False,appeal legal,He had a appeal legal.,He had an appeal legal.,He had an appeal legal.
atmosphere,It was a tense atmosphere.,tense,atmosphere,tense atmosphere,False,atmosphere tense,It was a atmosphere tense.,It was an atmosphere tense.,It was an atmosphere tense.
atmosphere,It was a hostile atmosphere.,hostile,atmosphere,hostile atmosphere,False,atmosphere hostile,It was a atmosphere hostile.,It was an atmosphere hostile.,It was an atmosphere hostile.
atmosphere,It was a gaseous atmosphere.,gaseous,atmosphere,gaseous atmosphere,False,atmosphere gaseous,It was a atmosphere gaseous.,It was an atmosphere gaseous.,It was an atmosphere gaseous.
band,It was a gold band.,gold,band,gold band,True,band gold,It was a band gold.,It was a band gold.,It was a band gold.
band,It was a rubber band.,rubber,band,rubber band,True,band rubber,It was a band rubber.,It was a band rubber.,It was a band rubber.
band,It was a jazz band.,jazz,band,jazz band,True,band jazz,It was a band jazz.,It was a band jazz.,It was a band jazz.
barrier,There was a police barrier.,police,barrier,police barrier,True,barrier police,There was a barrier police.,There was a barrier police.,There was a barrier police.
barrier,There was a concrete barrier.,concrete,barrier,concrete barrier,False,barrier concrete,There was a barrier concrete.,There was a barrier concrete.,There was a barrier concrete.
barrier,There was a language barrier.,language,barrier,language barrier,True,barrier language,There was a barrier language.,There was a barrier language.,There was a barrier language.
bat,He saw a furry bat.,furry,bat,furry bat,False,bat furry,He saw a bat furry.,He saw a bat furry.,He saw a bat furry.
bat,He saw a fruit bat.,fruit,bat,fruit bat,True,bat fruit,He saw a bat fruit.,He saw a bat fruit.,He saw a bat fruit.
bat,He saw a wooden bat.,wooden,bat,wooden bat,False,bat wooden,He saw a bat wooden.,He saw a bat wooden.,He saw a bat wooden.
beam,He saw the laser beam.,laser,beam,laser beam,True,beam laser,He saw the beam laser.,He saw the beam laser.,He saw the beam laser.
beam,He saw the bright beam.,bright,beam,bright beam,False,beam bright,He saw the beam bright.,He saw the beam bright.,He saw the beam bright.
beam,He saw the wood beam.,wood,beam,wood beam,True,beam wood,He saw the beam wood.,He saw the beam wood.,He saw the beam wood.
block,She had a toy block.,toy,block,toy block,True,block toy,She had a block toy.,She had a block toy.,She had a block toy.
block,She had a wooden block.,wooden,block,wooden block,False,block wooden,She had a block wooden.,She had a block wooden.,She had a block wooden.
block,She had a mental block.,mental,block,mental block,False,block mental,She had a block mental.,She had a block mental.,She had a block mental.
blood,He has coagulated blood.,coagulated,blood,coagulated blood,True,blood coagulated,He has blood coagulated.,He has blood coagulated.,He has blood coagulated.
blood,He has thin blood.,thin,blood,thin blood,False,blood thin,He has blood thin.,He has blood thin.,He has blood thin.
blood,He has noble blood.,noble,blood,noble blood,False,blood noble,He has blood noble.,He has blood noble.,He has blood noble.
board,It was the ironing board.,ironing,board,ironing board,False,board ironing,It was the board ironing.,It was the board ironing.,It was the board ironing.
board,It was the wooden board.,wooden,board,wooden board,False,board wooden,It was the board wooden.,It was the board wooden.,It was the board wooden.
board,It was the executive board.,executive,board,executive board,True,board executive,It was the board executive.,It was the board executive.,It was the board executive.
book,He had a best-selling book.,best-selling,book,best-selling book,False,book best-selling,He had a book best-selling.,He had a book best-selling.,He had a book best-selling.
book,He had a popular book.,popular,book,popular book,False,book popular,He had a book popular.,He had a book popular.,He had a book popular.
book,He had a heavy book.,heavy,book,heavy book,False,book heavy,He had a book heavy.,He had a book heavy.,He had a book heavy.
breakfast,They ate a pancake breakfast.,pancake,breakfast,pancake breakfast,True,breakfast pancake,They ate a breakfast pancake.,They ate a breakfast pancake.,They ate a breakfast pancake.
breakfast,They ate a nutritious breakfast.,nutritious,breakfast,nutritious breakfast,False,breakfast nutritious,They ate a breakfast nutritious.,They ate a breakfast nutritious.,They ate a breakfast nutritious.
breakfast,They ate a family breakfast.,family,breakfast,family breakfast,True,breakfast family,They ate a breakfast family.,They ate a breakfast family.,They ate a breakfast family.
cape,It was a red cape.,red,cape,red cape,False,cape red,It was a cape red.,It was a cape red.,It was a cape red.
cape,It was a flowing cape.,flowing,cape,flowing cape,False,cape flowing,It was a cape flowing.,It was a cape flowing.,It was a cape flowing.
cape,It was a rocky cape.,rocky,cape,rocky cape,False,cape rocky,It was a cape rocky.,It was a cape rocky.,It was a cape rocky.
case,It was a beer case.,beer,case,beer case,True,case beer,It was a case beer.,It was a case beer.,It was a case beer.
case,It was a display case.,display,case,display case,True,case display,It was a case display.,It was a case display.,It was a case display.
case,It was a divorce case.,divorce,case,divorce case,True,case divorce,It was a case divorce.,It was a case divorce.,It was a case divorce.
cause,It was a worthy cause.,worthy,cause,worthy cause,False,cause worthy,It was a cause worthy.,It was a cause worthy.,It was a cause worthy.
cause,It was a political cause.,political,cause,political cause,False,cause political,It was a cause political.,It was a cause political.,It was a cause political.
cause,It was a main cause.,main,cause,main cause,False,cause main,It was a cause main.,It was a cause main.,It was a cause main.
cell,It was a skin cell.,skin,cell,skin cell,True,cell skin,It was a cell skin.,It was a cell skin.,It was a cell skin.
cell,It was a brain cell.,brain,cell,brain cell,True,cell brain,It was a cell brain.,It was a cell brain.,It was a cell brain.
cell,It was a prison cell.,prison,cell,prison cell,True,cell prison,It was a cell prison.,It was a cell prison.,It was a cell prison.
charm,She had a devilish charm.,devilish,charm,devilish charm,False,charm devilish,She had a charm devilish.,She had a charm devilish.,She had a charm devilish.
charm,She had a natural charm.,natural,charm,natural charm,False,charm natural,She had a charm natural.,She had a charm natural.,She had a charm natural.
charm,She had a gold charm.,gold,charm,gold charm,True,charm gold,She had a charm gold.,She had a charm gold.,She had a charm gold.
chicken,They liked the juicy chicken.,juicy,chicken,juicy chicken,False,chicken juicy,They liked the chicken juicy.,They liked the chicken juicy.,They liked the chicken juicy.
chicken,They liked the roasted chicken.,roasted,chicken,roasted chicken,False,chicken roasted,They liked the chicken roasted.,They liked the chicken roasted.,They liked the chicken roasted.
chicken,They liked the clucking chicken.,clucking,chicken,clucking chicken,True,chicken clucking,They liked the chicken clucking.,They liked the chicken clucking.,They liked the chicken clucking.
class,It was a perceptive class.,perceptive,class,perceptive class,False,class perceptive,It was a class perceptive.,It was a class perceptive.,It was a class perceptive.
class,It was a misbehaving class.,misbehaving,class,misbehaving class,False,class misbehaving,It was a class misbehaving.,It was a class misbehaving.,It was a class misbehaving.
class,It was a boring class.,boring,class,boring class,False,class boring,It was a class boring.,It was a class boring.,It was a class boring.
clip,It was a film clip.,film,clip,film clip,True,clip film,It was a clip film.,It was a clip film.,It was a clip film.
clip,It was a video clip.,video,clip,video clip,True,clip video,It was a clip video.,It was a clip video.,It was a clip video.
clip,It was a hair clip.,hair,clip,hair clip,True,clip hair,It was a clip hair.,It was a clip hair.,It was a clip hair.
cold,It was an icy cold.,icy,cold,icy cold,False,cold icy,It was an cold icy.,It was an cold icy.,It was an cold icy.
cold,It was a freezing cold.,freezing,cold,freezing cold,False,cold freezing,It was a cold freezing.,It was a cold freezing.,It was a cold freezing.
cold,It was a chest cold.,chest,cold,chest cold,False,cold chest,It was a cold chest.,It was a cold chest.,It was a cold chest.
column,It was a gossip column.,gossip,column,gossip column,True,column gossip,It was a column gossip.,It was a column gossip.,It was a column gossip.
column,It was a sports column.,sports,column,sports column,True,column sports,It was a column sports.,It was a column sports.,It was a column sports.
column,It was a concrete column.,concrete,column,concrete column,False,column concrete,It was a column concrete.,It was a column concrete.,It was a column concrete.
company,He liked the investment company.,investment,company,investment company,True,company investment,He liked the company investment.,He liked the company investment.,He liked the company investment.
company,He liked the pharmaceutical company.,pharmaceutical,company,pharmaceutical company,False,company pharmaceutical,He liked the company pharmaceutical.,He liked the company pharmaceutical.,He liked the company pharmaceutical.
company,He liked the pleasant company.,pleasant,company,pleasant company,False,company pleasant,He liked the company pleasant.,He liked the company pleasant.,He liked the company pleasant.
cone,It was a waffle cone.,waffle,cone,waffle cone,True,cone waffle,It was a cone waffle.,It was a cone waffle.,It was a cone waffle.
cone,It was a sugar cone.,sugar,cone,sugar cone,True,cone sugar,It was a cone sugar.,It was a cone sugar.,It was a cone sugar.
cone,It was an orange cone.,orange,cone,orange cone,False,cone orange,It was an cone orange.,It was an cone orange.,It was an cone orange.
contribution,He made a charitable contribution.,charitable,contribution,charitable contribution,False,contribution charitable,He made a contribution charitable.,He made a contribution charitable.,He made a contribution charitable.
contribution,He made a voluntary contribution.,voluntary,contribution,voluntary contribution,False,contribution voluntary,He made a contribution voluntary.,He made a contribution voluntary.,He made a contribution voluntary.
contribution,He made a scholarly contribution.,scholarly,contribution,scholarly contribution,False,contribution scholarly,He made a contribution scholarly.,He made a contribution scholarly.,He made a contribution scholarly.
count,That was the noble count.,noble,count,noble count,False,count noble,That was the count noble.,That was the count noble.,That was the count noble.
count,That was the vengeful count.,vengeful,count,vengeful count,False,count vengeful,That was the count vengeful.,That was the count vengeful.,That was the count vengeful.
count,That was the final count.,final,count,final count,False,count final,That was the count final.,That was the count final.,That was the count final.
course,It was an introductory course.,introductory,course,introductory course,False,course introductory,It was an course introductory.,It was an course introductory.,It was an course introductory.
course,It was a pass-fail course.,pass-fail,course,pass-fail course,False,course pass-fail,It was a course pass-fail.,It was a course pass-fail.,It was a course pass-fail.
course,It was a charted course.,charted,course,charted course,False,course charted,It was a course charted.,It was a course charted.,It was a course charted.
date,It was a dinner date.,dinner,date,dinner date,True,date dinner,It was a date dinner.,It was a date dinner.,It was a date dinner.
date,It was a blind date.,blind,date,blind date,False,date blind,It was a date blind.,It was a date blind.,It was a date blind.
date,It was an expiration date.,expiration,date,expiration date,True,date expiration,It was an date expiration.,It was an date expiration.,It was an date expiration.
degree,It was about forty degrees.,forty,degrees,forty degrees,True,degrees forty,It was about degrees forty.,It was about degrees forty.,It was about degrees forty.
degree,It was about fifty degrees.,fifty,degrees,fifty degrees,True,degrees fifty,It was about degrees fifty.,It was about degrees fifty.,It was about degrees fifty.
degree,It was about associate degrees.,associate,degrees,associate degrees,False,degrees associate,It was about degrees associate.,It was about degrees associate.,It was about degrees associate.
design,They liked the floral design.,floral,design,floral design,False,design floral,They liked the design floral.,They liked the design floral.,They liked the design floral.
design,They liked the geometric design.,geometric,design,geometric design,False,design geometric,They liked the design geometric.,They liked the design geometric.,They liked the design geometric.
design,They liked the product design.,product,design,product design,True,design product,They liked the design product.,They liked the design product.,They liked the design product.
dinner,They liked the turkey dinner.,turkey,dinner,turkey dinner,True,dinner turkey,They liked the dinner turkey.,They liked the dinner turkey.,They liked the dinner turkey.
dinner,They liked the light dinner.,light,dinner,light dinner,False,dinner light,They liked the dinner light.,They liked the dinner light.,They liked the dinner light.
dinner,They liked the formal dinner.,formal,dinner,formal dinner,False,dinner formal,They liked the dinner formal.,They liked the dinner formal.,They liked the dinner formal.
dream,He had a recurring dream.,recurring,dream,recurring dream,False,dream recurring,He had a dream recurring.,He had a dream recurring.,He had a dream recurring.
dream,He had a bad dream.,bad,dream,bad dream,False,dream bad,He had a dream bad.,He had a dream bad.,He had a dream bad.
dream,He had a childhood dream.,childhood,dream,childhood dream,True,dream childhood,He had a dream childhood.,He had a dream childhood.,He had a dream childhood.
drill,It was a grueling drill.,grueling,drill,grueling drill,False,drill grueling,It was a drill grueling.,It was a drill grueling.,It was a drill grueling.
drill,It was a challenging drill.,challenging,drill,challenging drill,False,drill challenging,It was a drill challenging.,It was a drill challenging.,It was a drill challenging.
drill,It was an electric drill.,electric,drill,electric drill,False,drill electric,It was an drill electric.,It was an drill electric.,It was an drill electric.
examination,It was a multiple-choice examination.,multiple-choice,examination,multiple-choice examination,False,examination multiple-choice,It was a examination multiple-choice.,It was an examination multiple-choice.,It was an examination multiple-choice.
examination,It was a difficult examination.,difficult,examination,difficult examination,False,examination difficult,It was a examination difficult.,It was an examination difficult.,It was an examination difficult.
examination,It was a prostate examination.,prostate,examination,prostate examination,True,examination prostate,It was a examination prostate.,It was an examination prostate.,It was an examination prostate.
fan,They had an electric fan.,electric,fan,electric fan,False,fan electric,They had an fan electric.,They had an fan electric.,They had an fan electric.
fan,They had a ceiling fan.,ceiling,fan,ceiling fan,True,fan ceiling,They had a fan ceiling.,They had a fan ceiling.,They had a fan ceiling.
fan,They had a zealous fan.,zealous,fan,zealous fan,False,fan zealous,They had a fan zealous.,They had a fan zealous.,They had a fan zealous.
file,She had a text file.,text,file,text file,True,file text,She had a file text.,She had a file text.,She had a file text.
file,She had a data file.,data,file,data file,True,file data,She had a file data.,She had a file data.,She had a file data.
file,She had a nail file.,nail,file,nail file,True,file nail,She had a file nail.,She had a file nail.,She had a file nail.
film,It was an action film.,action,film,action film,True,film action,It was an film action.,It was an film action.,It was an film action.
film,It was a censored film.,censored,film,censored film,False,film censored,It was a film censored.,It was a film censored.,It was a film censored.
film,It was a transparent film.,transparent,film,transparent film,False,film transparent,It was a film transparent.,It was a film transparent.,It was a film transparent.
foundation,It was a charitable foundation.,charitable,foundation,charitable foundation,False,foundation charitable,It was a foundation charitable.,It was a foundation charitable.,It was a foundation charitable.
foundation,It was an educational foundation.,educational,foundation,educational foundation,False,foundation educational,It was an foundation educational.,It was an foundation educational.,It was an foundation educational.
foundation,It was a wooden foundation.,wooden,foundation,wooden foundation,False,foundation wooden,It was a foundation wooden.,It was a foundation wooden.,It was a foundation wooden.
function,It was a mathematical function.,mathematical,function,mathematical function,False,function mathematical,It was a function mathematical.,It was a function mathematical.,It was a function mathematical.
function,It was a linear function.,linear,function,linear function,False,function linear,It was a function linear.,It was a function linear.,It was a function linear.
function,It was a social function.,social,function,social function,False,function social,It was a function social.,It was a function social.,It was a function social.
ground,He was on the firm ground.,firm,ground,firm ground,False,ground firm,He was on the ground firm.,He was on the ground firm.,He was on the ground firm.
ground,He was on the frozen ground.,frozen,ground,frozen ground,False,ground frozen,He was on the ground frozen.,He was on the ground frozen.,He was on the ground frozen.
ground,He was on the camp ground.,camp,ground,camp ground,True,ground camp,He was on the ground camp.,He was on the ground camp.,He was on the ground camp.
guard,They liked the night guard.,night,guard,night guard,True,guard night,They liked the guard night.,They liked the guard night.,They liked the guard night.
guard,They liked the security guard.,security,guard,security guard,True,guard security,They liked the guard security.,They liked the guard security.,They liked the guard security.
guard,They liked the coast guard.,coast,guard,coast guard,True,guard coast,They liked the guard coast.,They liked the guard coast.,They liked the guard coast.
guide,He had an assembly guide.,assembly,guide,assembly guide,True,guide assembly,He had an guide assembly.,He had an guide assembly.,He had an guide assembly.
guide,He had a TV guide.,TV,guide,TV guide,True,guide TV,He had a guide TV.,He had a guide TV.,He had a guide TV.
guide,He had a talkative guide.,talkative,guide,talkative guide,False,guide talkative,He had a guide talkative.,He had a guide talkative.,He had a guide talkative.
home,It was a summer home.,summer,home,summer home,True,home summer,It was a home summer.,It was a home summer.,It was a home summer.
home,It was a childhood home.,childhood,home,childhood home,True,home childhood,It was a home childhood.,It was a home childhood.,It was a home childhood.
home,It was a funeral home.,funeral,home,funeral home,False,home funeral,It was a home funeral.,It was a home funeral.,It was a home funeral.
intelligence,They had natural intelligence.,natural,intelligence,natural intelligence,False,intelligence natural,They had intelligence natural.,They had intelligence natural.,They had intelligence natural.
intelligence,They had innate intelligence.,innate,intelligence,innate intelligence,False,intelligence innate,They had intelligence innate.,They had intelligence innate.,They had intelligence innate.
intelligence,They had classified intelligence.,classified,intelligence,classified intelligence,False,intelligence classified,They had intelligence classified.,They had intelligence classified.,They had intelligence classified.
issue,It was a sensitive issue.,sensitive,issue,sensitive issue,False,issue sensitive,It was a issue sensitive.,It was an issue sensitive.,It was an issue sensitive.
issue,It was a political issue.,political,issue,political issue,False,issue political,It was a issue political.,It was an issue political.,It was an issue political.
issue,It was a weekly issue.,weekly,issue,weekly issue,False,issue weekly,It was a issue weekly.,It was an issue weekly.,It was an issue weekly.
jam,It was a blackberry jam.,blackberry,jam,blackberry jam,True,jam blackberry,It was a jam blackberry.,It was a jam blackberry.,It was a jam blackberry.
jam,It was a peach jam.,peach,jam,peach jam,False,jam peach,It was a jam peach.,It was a jam peach.,It was a jam peach.
jam,It was a traffic jam.,traffic,jam,traffic jam,True,jam traffic,It was a jam traffic.,It was a jam traffic.,It was a jam traffic.
key,It was a duplicate key.,duplicate,key,duplicate key,False,key duplicate,It was a key duplicate.,It was a key duplicate.,It was a key duplicate.
key,It was a master key.,master,key,master key,True,key master,It was a key master.,It was a key master.,It was a key master.
key,It was a delete key.,delete,key,delete key,False,key delete,It was a key delete.,It was a key delete.,It was a key delete.
lamb,They liked the marinated lamb.,marinated,lamb,marinated lamb,True,lamb marinated,They liked the lamb marinated.,They liked the lamb marinated.,They liked the lamb marinated.
lamb,They liked the grilled lamb.,grilled,lamb,grilled lamb,False,lamb grilled,They liked the lamb grilled.,They liked the lamb grilled.,They liked the lamb grilled.
lamb,They liked the cute lamb.,cute,lamb,cute lamb,False,lamb cute,They liked the lamb cute.,They liked the lamb cute.,They liked the lamb cute.
lock,She had curly locks.,curly,locks,curly locks,False,locks curly,She had locks curly.,She had locks curly.,She had locks curly.
lock,She had brown locks.,brown,locks,brown locks,False,locks brown,She had locks brown.,She had locks brown.,She had locks brown.
lock,She had window locks.,window,locks,window locks,True,locks window,She had locks window.,She had locks window.,She had locks window.
lunch,They liked the hot lunch.,hot,lunch,hot lunch,False,lunch hot,They liked the lunch hot.,They liked the lunch hot.,They liked the lunch hot.
lunch,They liked the sandwich lunch.,sandwich,lunch,sandwich lunch,True,lunch sandwich,They liked the lunch sandwich.,They liked the lunch sandwich.,They liked the lunch sandwich.
lunch,They liked the afternoon lunch.,afternoon,lunch,afternoon lunch,True,lunch afternoon,They liked the lunch afternoon.,They liked the lunch afternoon.,They liked the lunch afternoon.
market,He liked the flea market.,flea,market,flea market,True,market flea,He liked the market flea.,He liked the market flea.,He liked the market flea.
market,He liked the fish market.,fish,market,fish market,True,market fish,He liked the market fish.,He liked the market fish.,He liked the market fish.
market,He liked the housing market.,housing,market,housing market,True,market housing,He liked the market housing.,He liked the market housing.,He liked the market housing.
match,It was a lit match.,lit,match,lit match,False,match lit,It was a match lit.,It was a match lit.,It was a match lit.
match,It was a burning match.,burning,match,burning match,False,match burning,It was a match burning.,It was a match burning.,It was a match burning.
match,It was a soccer match.,soccer,match,soccer match,True,match soccer,It was a match soccer.,It was a match soccer.,It was a match soccer.
medicine,It was cough medicine.,cough,medicine,cough medicine,True,medicine cough,It was medicine cough.,It was medicine cough.,It was medicine cough.
medicine,It was prescription medicine.,prescription,medicine,prescription medicine,True,medicine prescription,It was medicine prescription.,It was medicine prescription.,It was medicine prescription.
medicine,It was orthopedic medicine.,orthopedic,medicine,orthopedic medicine,False,medicine orthopedic,It was medicine orthopedic.,It was medicine orthopedic.,It was medicine orthopedic.
message,There was a phone message.,phone,message,phone message,True,message phone,There was a message phone.,There was a message phone.,There was a message phone.
message,There was a computer message.,computer,message,computer message,True,message computer,There was a message computer.,There was a message computer.,There was a message computer.
message,There was an urgent message.,urgent,message,urgent message,False,message urgent,There was an message urgent.,There was an message urgent.,There was an message urgent.
mold,It was a fungal mold.,fungal,mold,fungal mold,False,mold fungal,It was a mold fungal.,It was a mold fungal.,It was a mold fungal.
mold,It was a harmful mold.,harmful,mold,harmful mold,False,mold harmful,It was a mold harmful.,It was a mold harmful.,It was a mold harmful.
mold,It was a rubber mold.,rubber,mold,rubber mold,True,mold rubber,It was a mold rubber.,It was a mold rubber.,It was a mold rubber.
mole,She saw the cancerous mole.,cancerous,mole,cancerous mole,False,mole cancerous,She saw the mole cancerous.,She saw the mole cancerous.,She saw the mole cancerous.
